id,name,headshot_url,profession,specialty,event_title
252,Dr. Kamal F. Busaidy,https://www.utphysicians.com/wp-content/uploads/2018/01/busaidy-kamal-web.jpg,"DDS, FDSRCS (Eng), FACS",The University of Texas Health Science Center at Houston,2025 AAOMS Dental Implant Conference
272,Dr. Katja Nelson,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-NelsonK.jpg,"Dean of Dental Medicine, Universitätsklinikum Freiburg",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
258,Dr. Lane T. Knight,https://www.smdoms.com/files/2018/06/IMG_1243-2-1-234x300.jpg,DDS,Southern MD OMS,2025 AAOMS Dental Implant Conference
256,Dr. Larry E. Stigall,https://www.stigalloralsurgery.com/files/2019/02/26-copy-214x300.jpg,DDS,Private Practice,2025 AAOMS Dental Implant Conference
262,Dr. Lawrence E. Brecht,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-BrechtL.jpg,"Director of Maxillofacial Prosthetics, Northwell Health",Maxillofacial Prosthetics,2025 AAOMS Dental Implant Conference
270,Dr. Lorenzo Mordini,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-MordiniL.jpeg.jpg,"Director Post Graduate Periodontology, Tufts University",Periodontology,2025 AAOMS Dental Implant Conference
257,Dr. Louis K. Rafetto,@assets/image_1752869217195.png,"DMD, MEd",Christiana Care Health System,2025 AAOMS Dental Implant Conference
247,Dr. Michael A. Pikos,https://cdn.prod.website-files.com/66be37dc91dadcc1ad6b3e4c/68112bce099b7671e998847a__8505116%20(1).jpg,DDS,Pikos Institute,2025 AAOMS Dental Implant Conference
241,Dr. Panos Papaspyridakos,https://dental.tufts.edu/sites/g/files/lrezom626/files/styles/large/public/ppapas01.jpeg?itok=qyKDbI82,"DDS, MS, PhD",Tufts University School of Dental Medicine,2025 AAOMS Dental Implant Conference
263,Dr. Paulo Carvalho,https://paulocarvalho.ee/wp-content/uploads/2024/11/DSC_56052-1-scaled-250x250.jpg,Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
253,Dr. Peter A. Vellis,https://www.newenglandoralsurgery.com/files/2018/10/PAV-Photo-214x300.jpg,DDS,New England Oral Surgery Associates,2025 AAOMS Dental Implant Conference
269,Dr. Ricardo Mitrani,https://cdn.prod.website-files.com/6740e0a1eeb60c595e4e41c6/67455d352268108f6edbea15_Ricardo.jpg,Grupo Dental Bosques Oral Health & Smile Design,Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
243,Dr. Robert A. Levine,https://ralevinedds.com/wp-content/uploads/2023/12/IMG_8421-768x1024.jpeg,"DDS, FCPP, FISPP, AOD",RALevineDDs.com,2025 AAOMS Dental Implant Conference
265,Dr. Rolf Ewers,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-EwersR.jpg,"Chairman Emeritus, Hospital of Cranio Maxillofacial & Oral Surgery",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
268,Dr. Shuaib Malik,https://www.conferenceharvester.com/uploads/harvester/photos/cropUBQCTSJF-Presenter-MalikS.jpeg.jpg,"Owner, Oral and Maxillofacial Surgery of Chicago",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
261,Dr. Tara Aghaloo,https://www.conferenceharvester.com/uploads/harvester/photos/crop-DGNIORBF-Presenter-AghalooT.jpg,"Professor and Director, Clinical Research Center, UCLA School of Dentistry",Oral and Maxillofacial Surgery,2025 AAOMS Dental Implant Conference
246,Dr. Waldemar D. Polido,@assets/image_1752867118100.png,"DDS, MS, PhD",Indiana University School of Dentistry,2025 AAOMS Dental Implant Conference
254,Jennifer Brady,@assets/image_1752869095260.png,MHA,Ridgeline Oral Surgery,2025 AAOMS Dental Implant Conference
154,Dr. Ahmad Kutkut,https://ukhealthcare.uky.edu/sites/default/files/styles/large/public/2023-09/Kutkut_AhmadM_DDS-01%20WEB.jpg?itok=iBihg_KH,Prosthodontist & Implant Specialist,"Prosthodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
143,Dr. Aman S. Bhullar,https://www.leadingimplantcenters.com/assets/uploads/images/_squareExpert/Dr.-Aman-Bhullar.jpg,"Doctor of Medicine in Dentistry, FAAID, DABOI/ID",Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
147,Dr. Andrea Ravida,https://www.conferenceharvester.com/uploads/harvester/photos/cropHCGVAHTN-Presenter-RavidaA.jpg,"Doctor of Dental Surgery, MS, PhD",Periodontics and Peri-implantitis,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
141,Dr. Andrea Ricci,https://www.digitalsmiledesignclinics.com/hubfs/digitalsmiledesign.clinic/13_Studio_Ricci_Firenze/02_Master_Photo/Dr-Andrea-Ricci-v2.jpg,Doctor of Dental Surgery,Implant Dentistry and Prosthodontics,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
230,Dr. Andy Burton,/attached_assets/image_1752862379989.png,Dental Specialist,Restorative Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
164,Dr. Azadeh Amy Khajavi,https://dramykhajavi.com//wp-content/uploads/2021/09/dr-amy-khajav-photo.png,"DDS, Biological Dentist",Ceramic Zirconia Implants,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
160,Dr. Bart Silverman,https://www.bwsoralsurgery.com/files/2011/08/bart-silverman-dmd.jpg,Oral & Maxillofacial Surgeon,"Oral Surgery, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
195,Dr. Ben Kellum,/attached_assets/image_1752867118100.png,"DDS, Full Arch Specialist",Full Arch Implant Procedures,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
168,Dr. Brian J. Jackson,/attached_assets/image_1752862287892.png,"DDS, DABOI/ID, Honored Fellow AAID",Implant Surgery and Reconstructive Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
221,Dr. Bruce G. Freund,/attached_assets/image_1752862179071.png,DDS,"Facial Cosmetics, Injectable Pharmacologics",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
217,Dr. Cara Minichetti,https://englewooddental.com/wp-content/uploads/2024/05/Minichetti-Cara-734x1024-1.png,DDS,"Implant Dentistry, Oral Surgery",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
194,Dr. Christian Hart,/attached_assets/image_1752864879912.png,"DDS, Full Arch Specialist",Full Arch Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
218,Dr. Christopher Petrush,https://www.diablovalleydental.com/custom/images/petrush.jpg,"DDS, FAAID, DABOI/ID","Implant Dentistry, Bone Grafting",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
166,Dr. Craig I. Aronson,/attached_assets/image_1752858583902.png,"DDS, FAGD, FAAID, DABOI/ID",Implant Surgery and Cosmetic Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
153,Dr. Dan Holtzclaw,/attached_assets/image_1752859507269.png,Periodontist & Implant Specialist,"Periodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
180,Dr. Daniel Domingue,/attached_assets/image_1752766125491.png,"DDS, DABOI/ID, DICOI",Digital Workflows and Implant Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
220,Dr. David Resnick,/attached_assets/image_1752862148709.png,"DDS, FAAID, DABOI/ID","Implant Dentistry, Block Bone Grafts",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
190,Dr. David Resnick,/attached_assets/image_1752862148709.png,"DDS, FAAID, DABOI/ID",Surgical Procedures and Bone Reconstruction,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
213,Dr. Doaa Adel Khattab,https://ramclinics.net/uploads/doctors/2025/07/21/20250721141007852138028_doctors.jpg,"DDS, MS","Periodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
206,Dr. Donald J. Provenzale,/attached_assets/image_1752859729987.png,"DDS, DABOI/ID, AFAAID","Implant Dentistry, Anesthesiology, Reconstructive Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
196,Dr. Duke Heller,/attached_assets/image_1752867156398.png,"DDS, MS, Honored Fellow AAID",Dental Implant Surgery and Bone Grafting,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
199,Dr. Ed R. Kusek,/attached_assets/image_1752858706209.png,"DDS, FAAID, DABOI/ID, Past President AAID",Implant Dentistry and Oral Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
169,Dr. Frank Caputo,/attached_assets/image_1752862100034.png,"DDS, AAID Diplomate",Maxillary Sinus Augmentation and GBR,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
219,Dr. Frank Caputo,/attached_assets/image_1752862100034.png,"DDS, FAAID, DABOI/ID","Implant Dentistry, Bone Grafting",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
189,Dr. George Arvanitis,/attached_assets/image_1752869217195.png,"DDS, DABOI, Honored Fellow AAID",Reconstructive and Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
224,Dr. Hamilton M. Sporborg,https://www.sporborgdds.com/wp-content/uploads/sites/7134/2014/02/27F82F1E-191C-4E39-8A59-D63E79F453681.jpg,"DDS, FAAID, DABOI/ID",AAID Oral Examinations,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
175,Dr. Hesham Nouh,/attached_assets/image_1753110420625.png,"DSc, Clinical Professor",Prosthodontics and CAD/CAM,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
170,Dr. Hussam Batal,/attached_assets/image_1753110818070.png,"DMD, Clinical Professor",Endosseous Implant Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
187,Dr. Ihab Hanna,/attached_assets/image_1753111600370.png,"DDS, FAAID-DABOI, DICOI",Implant Dentistry and Surgical Training,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
192,Dr. Iqbal Biswas,/attached_assets/image_1753111648789.png,"MD, FRCP(C) Anesthesiology",Medical Anesthesiology and IV Sedation,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
201,Dr. JB White,/attached_assets/image_1752858989748.png,"DDS, AAID Member",Implant Dentistry and Cosmetic Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
140,Dr. James L. Rutkowski,https://www.ju.edu/_resources/img/WEB2023-Oral-Implantology-Mod-Sedation-12.jpg,"Doctor of Medicine in Dentistry, PhD",Anesthesia and Pain Management,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
171,Dr. James Nager,/attached_assets/image_1753111899535.png,"DMD, Associate Fellow AAID",Implant Surgery and Oral Conscious Sedation,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
198,Dr. Janice Wang,/attached_assets/image_1752858635178.png,"DDS, ABOI/ID Diplomate, AAID Fellow",Implant Dentistry and Surgical Procedures,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
200,Dr. Jason Kim,/attached_assets/image_1752858874822.png,"DDS, AAID Fellow, ABOI/ID Diplomate",Implant Dentistry and Dental Aesthetics,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
181,Dr. Jerome Smith,/attached_assets/image_1753113355389.png,"DDS, Honored Fellow AAID",Comprehensive Adult Reconstructive Care,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
157,Dr. Jin Y. Kim,https://drjinkim.com/wp-content/uploads/2022/10/periodontics-diamond-bar-ca-2.jpg,Periodontist & Implant Specialist,"Periodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
216,Dr. John C. Minichetti,https://manage.englewoodhealth.org/sites/default/files/2024-02/minichetti_john_dmd.jpg,"DMD, FAAID, DABOI/ID","Implant Dentistry, Oral Surgery",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
185,Dr. John Minichetti,/attached_assets/image_1752766307427.png,"DMD, DABOI/ID, Fellow AAID",Implant and Reconstructive Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
178,Dr. Jonathan Tsang,/attached_assets/image_1753111923782.png,"DMD, DABOI/ID",Complex Implant Techniques,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
176,Dr. Joseph Leonetti,/attached_assets/image_1753112229274.png,"DMD, DABOI/ID, FAAID",Oral Surgery and Implant Education,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
229,Dr. Keith Long,/attached_assets/image_1752862369199.png,Implant Specialist,Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
204,Dr. Kwan M. Lee,/attached_assets/image_1752859381265.png,"DDS, DABOI, DICOI",Implant Dentistry and Oral Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
165,Dr. Lawrence Nalitt,https://www.broadwaydentalcenterny.com/files/2015/02/dr-lawrence-nalitt1.jpg,"DDS, DABOI/ID, FAGD",Implant Surgery and General Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
172,Dr. Lily Hu,/attached_assets/image_1753112243990.png,"DMD, Board-Certified Anesthesiologist",Implant Prosthetic Principles,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
207,Dr. Michael A. Pikos,/attached_assets/image_1752862316488.png,"DDS, FACS, DABOMS, DABOI/ID","Oral & Maxillofacial Surgery, Advanced Bone Grafting",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
149,Dr. Michael A. Pikos,/attached_assets/image_1752862316488.png,"Doctor of Dental Surgery, FAAID, DABOI/ID",Oral and Maxillofacial Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
183,Dr. Michael A. Pikos,/attached_assets/image_1752862316488.png,"DDS, DABOI/ID, DICOI",Advanced Bone and Soft Tissue Grafting,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
210,Dr. Michael D. Scherer,/attached_assets/image_1752858783931.png,"DMD, MS, DABOI/ID","Prosthodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
155,Dr. Michael D. Scherer,/attached_assets/image_1752858783931.png,Prosthodontist & Implant Specialist,"Prosthodontics, Digital Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
184,Dr. Michael Shulman,/attached_assets/image_1752766219777.png,"DDS, AAID Course Instructor",Implant Placement and Oral Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
222,Dr. Mohamed Wagdy Bissar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQB5RKOPGNoVcO6xGTLd-RdIXJNNNnzJ2VbYg&s,"BChD, MSC, PhD, AFAAID","Sub-periosteal Implants, Compromised Ridge Solutions",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
203,Dr. Nakul Rathi,/attached_assets/image_1752859358743.png,"DDS, MS Prosthodontics, NYU Implant Fellowship","Prosthodontics, Implant Dentistry, Full Mouth Rehabilitation",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
162,Dr. Nathan Doyel,https://www.newsmiles.com/wp-content/uploads/2025/04/dr_d.png,"DMD, FAAID, DABOI/ID",Dental Implants and Digital Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
173,Dr. Paul Goodman,https://www.dentalnachos.com/hs-fs/hubfs/website%20images/Paul%20Headshot%20(1).jpg,"DDS, Dental Nachos Founder",Dental Team Training and Practice Management,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
146,Dr. Paul Goodman,https://www.dentalnachos.com/hs-fs/hubfs/website%20images/Paul%20Headshot%20(1).jpg?width=600&height=400&name=Paul%20Headshot%20(1).jpg,Doctor of Medicine in Dentistry,Practice Management and Patient Communication,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
158,Dr. Purnima Kumar,https://mitools.miserver.it.umich.edu/assets/photos/kpurnima.jpg,Periodontist & Microbial Ecologist,"Periodontics, Oral Microbiology",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
161,Dr. Rachana Hegde,https://www.alpenperio.com/wp-content/uploads/2023/05/Rachna.jpg,Board-Certified Periodontist,Periodontics and Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
225,Dr. Rachana Hegde,/attached_assets/image_1752765261310.png,"BDS, MS, DABP, DABOI, FAAID, FICD","Periodontics, Gingival Grafting",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
193,Dr. Rajiv Patel,/attached_assets/image_1752862575990.png,"DABOI/ID, Fellow AAID",Re-Vascularized Ridge Split Procedure,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
212,Dr. Rami Salloum,/attached_assets/image_1752859680801.png,"DDS, FAAID, DABOI/ID",Digital Implant Technology,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
205,Dr. Rami Salloum,/attached_assets/image_1752859680801.png,"DDS, DABOI/ID, FAAID","Implant Dentistry, Full-Arch Restorations, Digital Implant Technology",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
150,Dr. Ramsey Amin,"https://www.aboi.org/content/images/members/12-a2fe.jpg/image-full;max$222,0.ImageHandler","Doctor of Dental Surgery, FAAID, DABOI/ID",Subperiosteal Implants and CAD/CAM,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
197,Dr. Robert Heller,/attached_assets/image_1752869095260.png,"DDS, Prosthodontist",Implant and Cosmetic Restorative Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
186,Dr. Robert J. Stanley,/attached_assets/image_1752766367674.png,"DDS, PhD, MS, DABOI/ID",Comprehensive Dentistry and Implant Engineering,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
188,Dr. Roderick Stewart,/attached_assets/image_1752764953334.png,"DDS, DABOI, Honored Fellow AAID",Advanced Dental Reconstructive Treatment,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
182,Dr. Ron Zokol,/attached_assets/image_1752765330429.png,"DDS, DABOI/ID, DICOI",Digital Dentistry and Soft Tissue Management,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
144,Dr. Samantha A. Siranli,https://www.siranlidental.com/wp-content/uploads/2021/02/Dr-Samantha-Siranli.jpg,"Doctor of Medicine in Dentistry, PhD, FAAID, DABOI/ID",Digital Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
231,Dr. Sangiv I. Patel,/attached_assets/image_1752862575990.png,Implant Specialist,Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
179,Dr. Sarah Jockin,/attached_assets/image_1752766090805.png,"DDS, DABOI/ID, Associate Fellow AAID",Digital Full Arch Implant Procedures,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
142,Dr. Scott D. Ganz,https://images.cdn-files-a.com/uploads/3203086/800_5e8fb990961ab.jpg,Doctor of Medicine in Dentistry,Digital Dentistry and 3D Imaging,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
208,Dr. Scott D. Ganz,https://drganz.com/wp-content/uploads/2019/12/Scott-D.-Ganz-DMD.jpg,"DMD, Prosthodontist","Digital Implant Dentistry, CBCT 3D Imaging",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
159,Dr. Sebastiano Andreana,/attached_assets/image_1752862247377.png,Periodontist & Implant Specialist,"Periodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
202,Dr. Shahram Ghanaati,/attached_assets/image_1752859234980.png,"MD, DMD, PhD, Associate Professor","Oral and Maxillofacial Surgery, Blood Concentrates",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
145,Dr. Shankar Iyer,https://malosmileusa.com/wp-content/uploads/2024/01/Dr.-Shankar-Iyer.jpg,"Doctor of Dental Surgery, MDS, FAAID, DABOI/ID",Implant Dentistry and Oral Surgery,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
226,Dr. Shankar Iyer,https://malosmileusa.com/wp-content/uploads/2024/01/Dr.-Shankar-Iyer.jpg,"DDS, MDS, FAAID, DABOI/ID","Periodontics, Gingival Grafting",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
209,Dr. Shankar Iyer,https://malosmileusa.com/wp-content/uploads/2024/01/Dr.-Shankar-Iyer.jpg,"DDS, MDS, FAAID, DABOI/ID","Prosthodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
211,Dr. Shankar Iyer,https://malosmileusa.com/wp-content/uploads/2024/01/Dr.-Shankar-Iyer.jpg,"DDS, MDS, FAAID, DABOI/ID","Prosthodontics, Implant Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
156,Dr. Sompop Bencharit,https://www.highpoint.edu/media/home/2024/04/240808-Sompop-Bencharit-001-scaled.jpeg,Prosthodontist & Digital Dentistry Expert,"Prosthodontics, Digital Dentistry",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
191,Dr. Stefan Ciz,/attached_assets/image_1752765154522.png,"DDS, MSc Dental Anesthesiology",Dental Anesthesiology and IV Sedation,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
151,Dr. Suheil M. Boutros,https://c3-preview.prosites.com/308043/ed/PageMeetTheTeam/23d602de-46df-402d-8c85-8c844a04ac20_lg.jpg,"Doctor of Dental Surgery, MS, FAAID",Periodontics and Esthetic Zone Management,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
174,Dr. Swati Agnihotri,/attached_assets/image_1752000422713.png,"DMD, AFAAID, FAGD",Cosmetic and Implant Dentistry,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
148,Dr. Tarek Assi,https://www.alphadentalpractice.com/wp-content/uploads/2024/12/img-dr-assi.jpg,"Doctor of Medicine in Dentistry, FAAID, DABOI/ID",Digital Dentistry and All-on-X,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
167,Dr. Thaisa Bordin,https://dental.tufts.edu/sites/g/files/lrezom626/files/styles/large/public/tbordi01.jpeg?itok=R_F9LSuv,"DDS, MSc, PhD, DMD",Prosthodontics and Implant Esthetics,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
223,Dr. Walter C. Chitwood Jr.,"https://www.aboi.org/content/images/members/75-745a.jpg/image-full;max$222,0.ImageHandler","DDS, FAAID, DABOI/ID",AAID Oral Examinations,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
177,Dr. William Liang,/attached_assets/image_1752003854971.png,"DMD, DABOI/ID, Honored Fellow AAID",Implant Dentistry and MaxiCourse Education,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
163,Jessica Woods,/attached_assets/image_1752862061609.png,"MPH, RDH",Dental Hygiene and Implant Maintenance,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
215,Katie Worth,https://wpvip.edutopia.org/wp-content/uploads/2022/10/Katie20Worth.jpg?w=280,Practice Management Consultant,Dental Practice Operations,AAID Annual Meeting 2025 - American Academy of Implant Dentistry
214,Paul Goodman,/attached_assets/image_1752765979398.png,DMD,"Practice Management, Dental Business",AAID Annual Meeting 2025 - American Academy of Implant Dentistry
868,Allen Robinson,https://via.placeholder.com/200x200,DDS,Oral & Maxillofacial Surgery,AAOMS 107th Annual Meeting 2025
650,"Arthur W. Curley, JD",https://www.conferenceharvester.com/uploads/harvester/photos/cropWISQIWKU-Presenter-CurleyA.jpg,Attorney,Legal,AAOMS 107th Annual Meeting 2025
566,Brad Peiffer,https://www.conferenceharvester.com/uploads/harvester/photos/cropWISQIWKU-Presenter-PeifferB.jpg,Regional Business Development Officer,Business Development,AAOMS 107th Annual Meeting 2025
876,Burake Taye,https://via.placeholder.com/200x200,Professional Staff,Practice Management,AAOMS 107th Annual Meeting 2025
656,"Carol Simmons, MD",https://www.conferenceharvester.com/uploads/harvester/photos/cropWISQIWKU-Presenter-SimmonsC.jpg,Emergency Medicine Physician,Emergency Medicine,AAOMS 107th Annual Meeting 2025
554,Debra L. Nash,https://www.conferenceharvester.com/uploads/harvester/photos/cropWISQIWKU-Presenter-NashD.jpeg.jpg,"Consultant, Speaker, Educator",Dental Education,AAOMS 107th Annual Meeting 2025
573,Dr. Adam S. Pitts,https://www.conferenceharvester.com/uploads/harvester/photos/cropWISQIWKU-Presenter-PittsA.jpg,Oral and Maxillofacial Surgeon,Oral and Maxillofacial Surgery,AAOMS 107th Annual Meeting 2025
